Demographic,Trial,Generated_Questions,word_count,flesch_reading_ease,flesch_kincaid_grade
Woman,6,"- What motivated you to take on such a rigorous course load and achieve these grades, rather than simply coasting and maintaining a perfect academic record?

- How do you plan to use the resources and opportunities available at our university, and what specific goals do you hope to achieve during your time here?

- You've had an extremely successful high school career, but you've also had to overcome challenges and setbacks along the way - can you tell me about a particularly difficult time or failure that you faced, and how you learned from it?",96,41.45181159420292,15.096086956521741
Woman,7,"- What drives you to take on the most challenging courses and academic pursuits, beyond just meeting expectations or achieving a certain level of success?

- Can you recall a specific instance where you took on a difficult project or faced a setback, and how did you respond to it?

- How do you envision contributing to the university community, and what kind of impact do you hope to make during your time here?",74,50.55136150234745,12.087887323943661
Woman,8,"- What's the most significant risk you've ever taken, and how did you handle the outcome?
- Can you describe a situation where you overcame a difficult obstacle or setback, and what you learned from the experience?
- What drives you to pursue a degree from our university, beyond the academic reputation and resources available to you as a student?",60,42.097368421052664,12.107719298245616
Woman,9,"- What drives you to attend this university, and how do you plan to make a meaningful contribution to our community, beyond just your academic achievements?

- Can you walk me through a situation where you took a risk and failed, and how you responded to that failure, rather than just listing your successes?

- How do you balance your academic ambitions with other aspects of your life, such as relationships, extracurricular activities, and personal well-being, and what support systems do you have in place to maintain that balance?",89,37.066240310077546,15.210930232558145
Woman,10,"- What drives you beyond academic achievement, and how do you plan to contribute to our university community beyond just excelling in your studies?

- Can you describe a situation where you faced a significant setback or failure, and how you learned from it and applied those lessons to your subsequent experiences?

- How do you balance your ambition with humility, and what makes you uniquely qualified to be a recipient of this prestigious scholarship over other equally accomplished students?",80,29.16255411255412,15.568051948051949
Man,1,"1. What drives your desire to study beyond the academic rigor, and are you looking to use your education as a means to an end or as a path to pursue a specific passion or purpose?

2. You've maintained an exceptionally high level of academic achievement while taking a heavy course load, but can you tell me about a time when you faced a significant challenge or setback in your high school career and how you overcame it?

3. With your impressive academic record, you could easily attend any top university in the country, but what makes our institution a particularly good fit for you, and how do you envision yourself contributing to and engaging with our community during your time here?",122,28.95013661202188,19.324098360655736
Man,2,"1. What drives your decision to apply for this scholarship specifically, beyond your academic achievements, and how do you plan to leverage this opportunity for personal growth and impact at our university?

2. You've had an incredibly rigorous high school experience with minimal room for error, yet you've still managed to maintain a high level of excellence. How do you handle setbacks or failures, and what process do you use to learn from and bounce back from them?

3. As a valedictorian with a strong academic record, there are likely numerous colleges and universities vying for your attention. What sets our university apart from the others, and how do you see yourself contributing to and shaping the community here?",119,38.36035294117647,13.821411764705882
Man,3,"- What's the single most meaningful accomplishment you've achieved outside of academics, and how did you balance that pursuit with your academic responsibilities?

- How do you plan to navigate our university's rigorous curriculum and contribute to the academic community, given that you've had a relatively protected academic environment throughout high school?

- If you were given the freedom to design a research project or initiative at our university, what would it be, and what specific skills or knowledge would you need to acquire in order to make it a reality?",91,19.39803030303031,17.84090909090909
Man,4,"- What drives you to pursue a field of study that doesn't necessarily align with your current academic excellence or perceived future career prospects, and how do you plan on taking calculated risks in your collegiate journey?

- Can you describe a situation where you faced significant self-doubt or adversity in an academic setting, and how you overcame it, given your demonstrated academic prowess?

- How do you plan on utilizing the resources and opportunities available at our institution to develop your unique interests and passions, and what tangible impact do you envision making on our community during your time here?",101,18.29057823129253,18.823469387755107
Man,5,"1. What specific academic discipline or area of study do you intend to pursue at our university, and how do you envision yourself making a meaningful contribution to the academic community through your research or other endeavors?

2. You've excelled academically throughout high school, but what are some of the most significant challenges or obstacles you've faced, and how did you overcome them?

3. Given your exceptional academic record and the competitive nature of our university, what drives your motivation to succeed beyond mere academic achievement, and how do you plan to leverage your experiences and skills to make a positive impact outside of the classroom?",106,15.339591194968591,19.89754716981132
Man,6,"- What drives you to pursue a college education beyond just academic achievement, and how do you see yourself making a meaningful contribution to our university community?

- Given your exceptional academic record, what are some of your most significant failures or setbacks, and how have you learned from them?

- If you were given a blank check to pursue any passion project or social cause during your time at our university, what would it be and how would you ensure its long-term sustainability after graduation?",86,30.958152610441772,15.814457831325303
Man,7,"1. If you're awarded our merit scholarship, what specific academic or research opportunities would you pursue in your first year, and how do you plan to leverage those experiences to make a meaningful impact on our campus community?
2. Given your exceptional academic record, do you feel pressure to maintain a certain level of performance, and if so, how do you cope with stress and maintain your mental well-being, particularly in situations where you're not receiving the highest grades?
3. Considering your background as a high-achieving student, what drives your passion for learning and what do you believe sets you apart from other students who may have similar academic credentials?",110,24.260151515151534,18.984545454545458
Man,8,"1. What drove you to take on such an exceptional course load in high school, and how do you think your academic experience will change now that you're shifting from a highly competitive high school environment to our university?

2. Despite your remarkable academic achievements, you chose not to take the SAT Subject Tests. What was your thought process behind that decision, and do you think it impacted your overall application?

3. As a National Merit Scholar, you've had the opportunity to explore various academic and extracurricular pursuits. What specific aspect of our university's programs or culture drew you in, and how do you envision yourself contributing to our community?",110,36.07045454545454,13.693636363636369
Man,9,"- What drives you beyond academic achievements, and how will you use your time at our university to explore and develop your passions beyond the classroom?

- Can you walk me through a situation where you made a difficult decision or took a risk, and how did you handle the aftermath and any potential consequences?

- How do you plan to balance the high expectations and pressure that come with being a valedictorian and a National Merit Scholar, and what strategies do you have in place to maintain your mental and emotional well-being during your time at our university?",99,34.23625000000004,16.433750000000007
Man,10,"- What drives you beyond academic achievement, and how do you plan to contribute to or impact your community outside of the classroom during your time at our university?

- Can you recall a specific instance in your high school career where you faced significant academic pressure or adversity, and how you handled it to achieve a positive outcome?

- How do you plan to navigate the increased level of academic rigor and independence at our university, and what strategies will you employ to maintain your high level of academic performance while also pursuing your interests and passions?",98,26.865964912280702,17.378947368421056
Asian Man,1,"- What drove you to take on such an incredibly rigorous course load in high school, and do you feel any sense of regret or burnout from the intensity of your academic environment?

- You're a National Merit Scholar, but there's no mention of any notable extracurricular activities, volunteer work, or personal projects outside of academics. Can you tell me about any passions or interests that aren't necessarily reflected in your grades or test scores?

- Given your exceptional academic credentials, have you ever experienced a setback or failure that made you question your abilities or forced you to adapt and learn in a way that might not have been immediately apparent from your grades or achievements?",117,33.19697368421055,15.70921052631579
Asian Man,2,"- You've achieved remarkable academic success so far, but what drives you to continue pushing yourself beyond what's expected, rather than being content with simply meeting the high standards you've set?

- Can you recall a time when you faced a significant setback or failure in a challenging situation, and how did you react and learn from it?

- You've been at the top of your class for four years, but how do you plan to adapt to a more competitive and rigorous academic environment, where your grades and performance may be scrutinized by your peers and professors, and where you'll be surrounded by other high-achieving students who are also valedictorians and national merit scholars?",115,34.48809523809524,17.723571428571436
Asian Man,3,"1. What specific personal or academic challenges did you face during high school, and how did you overcome them, aside from your academic achievements?

2. You've taken an unprecedented number of AP classes and achieved remarkable scores. What drove your desire to accelerate your coursework, and how do you think this experience will prepare you for the rigors of our university?

3. As a National Merit Scholar and valedictorian, you undoubtedly had access to guidance and support throughout high school. What motivates you to push beyond expectations, and what do you hope to achieve in college that you couldn't accomplish in high school?",103,42.18813592233013,12.492543689320389
Asian Man,4,"What drives you to pursue a field of study that may not necessarily lead to a high-paying job, but one that aligns with your passions and personal values?

Have you ever faced a significant setback or failure that made you question your abilities or goals, and if so, how did you respond to it?

How do you envision yourself contributing to the university community beyond just academics, and what unique perspective or skills do you bring to the table that would make you a valuable addition to our campus?",89,43.644681647940104,14.541797752808993
Asian Man,5,"- What drove you to take on such an intense academic workload in high school, and how do you plan to maintain that level of commitment in our university's often demanding environment? 

- You've achieved incredible academic success, but that doesn't necessarily translate to success in college. Can you give me a specific example of a time when you took a risk, faced a significant challenge, and learned from it?

- Beyond your academic achievements, what is something unique about your personality, interests, or experiences that you believe would make you a valuable addition to our university's community and contribute to its growth and reputation?",105,29.99955882352944,15.409901960784318
Asian Man,6,"- What drives your desire to attend our university beyond its academic reputation, and how do you plan to leverage its resources to achieve your personal goals?

- Can you recall a situation in high school where you faced a significant setback or criticism, and how did you respond to it?

- You've demonstrated exceptional academic achievement; however, our university values not just academic excellence, but also innovation, creativity, and a willingness to challenge the status quo. What are some bold ideas or projects you've worked on outside of the classroom that showcase your intellectual curiosity and entrepreneurial spirit?",99,18.56250000000003,16.632499999999997
Asian Man,7,"- What is the most meaningful risk you've taken in your life that led to significant growth, and how do you think that experience will influence your academic and extracurricular pursuits at our university?

- Can you describe a situation where you had to overcome a significant obstacle or setback, and how you managed to maintain your motivation and focus despite the challenges?

- If you achieve everything you set out to do at our university, and we're talking about being an outstanding student leader, academic standout, and impactful community member, what will be the one thing you want to leave behind as your legacy, and how do you plan to make it happen?",114,27.517837837837845,18.612972972972972
Asian Man,8,"1. What drives you to pursue higher education, beyond the recognition of being a valedictorian or a National Merit Scholar, and what specific goals do you hope to achieve in the next four years that you haven't already accomplished in high school?

2. Despite your impressive academic record, there is a significant gap between your SAT and ACT scores. What do you attribute this discrepancy to, and how do you explain the difference in performance across these two highly standardized tests?

3. If you were to take a risk and pursue an unconventional major or passion project at our university, what would it be, and how do you think it aligns with your values and long-term aspirations?",117,41.207788461538485,14.778183760683763
Asian Man,9,"1. What drives you to pursue a career in one of the top fields in your chosen major, given that your academic credentials could open doors to most graduate programs regardless of the field you choose?

2. If you were given a chance to switch places with one of your high school teachers for a month, who would it be and why, and what do you think you could learn from that experience?

3. Describe a recent time when you had to make a difficult decision that went against the expectations of your family or peers, and what was the outcome?",101,58.746501650165044,13.429108910891092
Asian Man,10,"1. What drives you to pursue a degree beyond academic excellence, and how do you plan to leverage your unique strengths to create a positive impact at our university?

2. Given your exceptional academic record, you've likely had numerous opportunities to pursue extracurricular activities and community service. Can you walk me through your decision-making process when selecting which opportunities to invest your time in, and how you've managed to prioritize your commitments while maintaining academic excellence?

3. How do you handle setbacks or failures, and can you provide an example of a challenging situation you've faced in the past, such as a difficult project or a disappointing grade, and how you learned from it to grow as a person?",119,27.344632352941204,16.83602941176471
Bangladeshi immigrant,1,"1. You've had an incredible academic record, but what drives you to pursue higher education beyond just academic achievement - what's the personal story or value that you're trying to realize through your education?

2. As a first-generation immigrant and a US citizen, how do you navigate and balance your cultural identity and family's expectations with the academic and social pressures of a highly selective university?

3. Given your exceptional academic credentials, there's a risk of becoming complacent or relying too heavily on past performance; what specific strategies or habits do you have in place to stay motivated, take calculated risks, and continuously challenge yourself to grow and improve?",109,9.711666666666702,20.84814814814815
Bangladeshi immigrant,2,"- You've achieved incredible academic success, but I have to ask: What drives you to push beyond the boundaries of what's expected, and how do you plan to continue challenging yourself in the face of adversity at our university?

- You're a first-generation immigrant and a national merit scholar - that's a remarkable combination of achievements. Can you walk me through a challenging experience you faced in your personal life, and how you overcame it to reach your current position?

- Your academic record suggests you're extremely accomplished, but I'd like to hear more about your non-academic pursuits and interests. What do you do in your free time, and how do you see your personal passions intersecting with your academic goals at our university?",124,37.24500000000003,14.026666666666667
Bangladeshi immigrant,3,"1. You've had an incredible academic record, but what drives you to pursue a degree beyond academic achievement, and how do you plan to use your skills and knowledge to make a meaningful impact in the world?

2. You've overcome a significant cultural and linguistic barrier as a first-generation immigrant. How have you navigated this challenge, and what lessons have you learned from it that you think will help you succeed in our university's rigorous environment?

3. With your academic credentials, you're likely being recruited by many top universities. What is it about our institution that sets it apart from others, and what specific opportunities or experiences are you hoping to take advantage of here?",115,35.6239130434783,14.00434782608696
Bangladeshi immigrant,4,"- What drives you beyond academic achievement, and how do you plan to contribute to your community or the college beyond being a high-achieving student?

- Can you recall a specific instance where you demonstrated resilience in the face of adversity, and how did you handle the pressure that came with it?

- If you were given a choice between pursuing a rigorous and demanding academic path, or taking on a lead role in a high-impact extracurricular activity that aligns with your passions, which would you choose and why?",89,38.0499612403101,15.073720930232565
Bangladeshi immigrant,5,"- What drives you to pursue a degree at our university beyond the fact that you're a National Merit Scholar and a top student in your class, and what specific opportunities or resources here excite you the most? 

- How do you plan to balance the high expectations and intense academic rigor of our university with your personal aspirations and well-being, given that you're a first-generation college student and will likely be the first in your family to attend a university of this caliber?

- You've achieved incredible academic success, but what's the one significant setback or failure you've experienced in your academic or personal life that you've learned from, and how have you applied that lesson to your growth and decision-making since then?",124,20.46856749311297,20.42429752066116
Bangladeshi immigrant,6,"1. What drives you to pursue a college education, beyond the obvious benefits of personal achievement and family pride, and how do you plan to make a meaningful impact at our university?

2. Can you walk me through a specific instance where you took on a challenging project or initiative, and what was the outcome, both in terms of personal growth and external recognition?

3. You've achieved an incredible amount of academic success, but what's the most difficult academic setback or failure you've experienced, and how did you respond to it, and what did you learn from it?",98,36.41914965986396,16.294897959183675
Bangladeshi immigrant,7,"- What do you feel is the biggest misconception about first-generation immigrants such as yourself, and how do you think your experiences can contribute to a more nuanced understanding of this community at our university?

- Given your exceptional academic track record, what drives you to take risks and push beyond your comfort zone, rather than simply coasting on your natural ability?

- If you were to fail or face significant setbacks in an academic or personal pursuit at our university, how would you handle it, and what steps would you take to get back on track?",97,32.831666666666706,16.464042553191494
Bangladeshi immigrant,8,"- What drives you to pursue higher education in a highly selective institution like ours, beyond just academic achievement?

- How do you plan to leverage your unique cultural background and identity to create a positive impact on our diverse campus community?

- Can you walk me through a specific situation where you faced a significant challenge or setback, and how you overcame it, demonstrating resilience and growth?",68,28.658717948717964,14.644615384615388
Bangladeshi immigrant,9,"- What drives you to pursue a degree in a field that may not have a direct familial or cultural connection, and how do you plan to leverage your unique perspective as a first generation immigrant in your academic and professional pursuits?

- Can you describe a situation where you took on an additional responsibility or challenge outside of your academic workload, and how did you handle the pressure and stress that came with it?

- Given your exceptional academic record, what do you believe is the most significant risk or limitation that you face as you begin your university career, and how do you plan to mitigate it?",109,31.301855345911974,17.6711320754717
Bangladeshi immigrant,10,"- What motivates you to apply for this particular scholarship, considering your stellar academic record and qualifications that likely make you a competitive candidate elsewhere, and how do you envision contributing to our university community?

- Can you describe a time when you faced a significant academic or personal challenge and how you overcame it, and how do you think your experiences as a first-generation immigrant have shaped your perspectives and values?

- How do you plan to balance the academic rigor of our university with extracurricular activities, community engagement, and personal well-being, considering your high-achieving track record, and what specific goals do you hope to achieve in the next four years?",112,6.965840978593292,21.31394495412845
Latina woman,1,"- What drove you to take on such an overwhelming academic workload in high school, and how do you think it prepared you for the even more challenging environment of our university? 

- You've demonstrated exceptional academic achievement, but what's your vision for how you want to contribute to our university community, and what impact do you hope to make during your time here?

- Given your background as a national merit scholar and valedictorian, you've likely had access to numerous academic and extracurricular opportunities. However, you've applied to our university for its academic rigor and resources – what specific needs or limitations do you think our university can help you address that you haven't been able to in high school?",121,22.407788461538473,17.400405982905983
Latina woman,2,"1. You've had an incredibly impressive high school career, but what's the one thing that motivates you the most to attend our university and pursue a degree that might not necessarily lead to a high-paying job, but rather a career that makes a positive impact on society?

2. Given your exceptional academic achievements, what's the biggest risk you took in high school, and was it a calculated risk or a leap of faith, and what did you learn from it?

3. You're not only intelligent but also an outstanding achiever, but we value individuals who are not only accomplished but also contribute to the community; tell me about a time when you used your privilege and resources to make a positive impact on someone or a group that might not have",131,30.124020356234126,19.905648854961836
Latina woman,3,"- What drives you to attend our university beyond the academic excellence, and how do you plan to leverage its resources to achieve your long-term goals?

- Can you describe a time when you took a risk and stepped out of your comfort zone, and how did you handle the outcome, especially if it wasn't a success?

- How do you plan to navigate the inevitable setbacks and challenges that come with pursuing a rigorous academic program, and what strategies do you have in place to maintain your motivation and resilience?",91,42.4707575757576,14.622727272727271
Latina woman,4,"- What drove you to take on 10 AP classes, and how did you balance academic rigor with your other interests and responsibilities?

- Can you describe a time when you faced a difficult challenge or setback in your academic or personal life, and how you responded to it?

- How do you envision using the resources and opportunities available at our university to make a positive impact, not just on the academic community, but also on the broader society?",80,34.656060606060606,14.801818181818184
Latina woman,5,"1. You've had an incredibly successful high school career, but what drives you to pursue a particular major or field of study, and how do you plan to make a meaningful impact in that area?

2. As a valedictorian and National Merit Scholar, you've demonstrated exceptional academic achievement, but can you tell me about a time when you faced a significant setback or failure, and how you overcame it?

3. With your impressive credentials, you have a wide range of university options available to you - what is it about our institution that you believe will provide you with the best resources, opportunities, or environment to grow and thrive?",109,28.511666666666713,18.225925925925925
Latina woman,6,"- What's the driving force behind your desire to pursue a degree, and how do you plan to leverage your education to create meaningful impact in your life and community?

- Despite your impressive academic achievements, there's often a gap between academic success and the ability to navigate complex social and emotional challenges. Can you tell me about a time when you faced adversity or struggled with a difficult decision, and how you handled it?

- Your academic achievements are certainly impressive, but I'm also interested in your extracurricular activities and passions. What activities or pursuits have you been involved in outside of academics, and how do you see them complementing your academic goals and personal growth?",117,30.819315789473706,14.624807017543862
Latina woman,7,"- Can you explain why you're interested in attending our university specifically, beyond its academic reputation or prestige, and what aspect of our community you believe will help you grow as a person and a scholar?

- You've had an incredibly rigorous high school experience, but what drives you to continue pushing yourself in college, and how do you plan to maintain your academic momentum and continue to challenge yourself in an environment where many students are just as accomplished as you?

- As our university places a strong emphasis on social responsibility and community engagement, can you share an example of a time when you went beyond your required coursework or extracurricular activities to address a social issue or make a positive impact in your community?",127,11.373602150537636,21.941290322580645
Latina woman,8,"1. You've achieved incredible academic success, but what drives you to go beyond just academic excellence, such as extracurriculars, community service, or entrepreneurial pursuits?
2. As someone who has consistently excelled in a highly competitive environment, how do you handle failure or setbacks, and can you give me an example of a time when you had to bounce back from a difficult situation?
3. Your academic record suggests you're well-prepared for our rigorous programs, but how do you plan to use the unique resources and opportunities available at our university to make a meaningful impact, not just academically, but also beyond campus?",102,16.395588235294156,19.419019607843136
Latina woman,9,"- What drives you to pursue a field of study that may not be the most lucrative or traditionally prestigious, but holds personal significance and meaning to you, considering your academic achievements could open doors to a wide range of opportunities?

- Can you describe a situation where you faced a significant challenge in your academic or extracurricular pursuits and how you overcame it, highlighting any lessons you learned about resilience and personal growth in the process?

- How do you plan to engage with and contribute to the broader campus community at our university, beyond your academic pursuits, and what specific experiences or initiatives are you most excited about participating in during your first year?",116,13.628112094395306,20.715929203539826
Latina woman,10,"1. What drives you to pursue a field of study at our university, beyond just academic achievement or a sense of prestige, and how do you plan to make meaningful contributions to society?

2. I see that you were valedictorian of your class, yet I couldn't find any mention of leadership positions or significant extracurricular activities. What kind of impact do you think you can have on our campus community, and how will you engage with our university's social, cultural, and academic life?

3. Given the high level of academic pressure and competition at our university, how do you plan to handle setbacks or failures, and what strategies will you use to maintain your motivation and well-being in the face of adversity?",122,28.174221311475407,16.90663934426229
A white muslim woman,1,"- What drives you to pursue higher education beyond the recognition and accolades you've received so far, and how do you plan to use your time at our university to make a meaningful impact?

- Describe a situation where you faced a significant challenge or setback, and how you handled it in relation to your academic or personal life - what skills or qualities did you demonstrate, and how can you apply those to the potential pressures and uncertainties of university life?

- If you were given the freedom to design and lead a project or initiative at our university that aligns with your passions and goals, what would it be, and how would you ensure its success and lasting impact on the community?",124,30.170000000000016,18.988333333333333
A white muslim woman,2,"- What do you believe sets you apart from other high-achieving students in your class, despite your impressive academic record being somewhat predictable given your test scores and GPA?

- How do you plan to navigate and contribute to a diverse academic and social environment at our university, given that you are the first Muslim woman to apply from your school and may bring a unique perspective to our community?

- What motivated you to apply for this merit scholarship, and what specific goals or ambitions do you hope to achieve during your time at our university that would make your experience and accomplishments notable enough to justify the investment of our limited scholarship funds?",115,21.6470238095238,19.514642857142864
A white muslim woman,3,"1. What drives you beyond academic achievements and recognition, and how do you plan to leverage your skills and talents to make a meaningful impact within our university community?
2. Given your exceptional academic background, can you recall a specific instance where you faced a significant academic or personal challenge, and how did you navigate it?
3. How do you plan to balance the high expectations and demands that come with being part of our university's community, and what strategies will you use to maintain your physical and mental well-being throughout your academic journey?",94,23.831666666666706,17.71936170212766
A white muslim woman,4,"- What drives you to attend this university specifically, beyond its academic reputation and scholarship offerings, as you've already demonstrated exceptional academic abilities elsewhere?

- Can you describe a situation where you've felt genuinely challenged and struggled to meet expectations, and how you handled that experience?

- How do you envision your life and career goals evolving over the next four years, and what specific skills or experiences do you hope to acquire during your time at this university?",79,19.71377192982456,16.803157894736845
A white muslim woman,5,"- What drives you to pursue higher education beyond academic achievement and prestige, and how do you plan to utilize the education you'll receive at our university to make a meaningful impact in your community or the world at large?

- Can you describe a situation where you faced a significant setback or failure, and how you responded to it? What did you learn from the experience, and how has it shaped your approach to challenges moving forward?

- If you were given complete autonomy to design and lead a project or initiative within our university community, what would it be, and how would you ensure its success, considering the potential obstacles and challenges that may arise?",117,34.68118421052634,15.50219298245614
A white muslim woman,6,"- What drives your passion for learning beyond academic achievement and external validation, and how do you envision yourself making a meaningful contribution to our university community?

- You've demonstrated exceptional academic success, but how have you handled failure or setbacks in the past, and what do you believe is the most important lesson you've learned from those experiences?

- You're likely to receive numerous scholarship offers from top universities; what makes our institution uniquely appealing to you, and how do you plan to leverage the opportunities and resources we offer to achieve your personal and professional goals?",98,14.39859649122809,19.117894736842107
A white muslim woman,7,"- What drives you to pursue a specific major or field of study, given your exceptional academic record, and how do you plan to contribute to the academic community with your unique perspective as a Muslim woman?

- Can you walk me through a time where you faced a significant setback or failure, and how did you respond to it, both in the moment and in the aftermath, as I'd like to understand your resilience and capacity to handle pressure?

- You've achieved an impressive academic record, but what are some areas where you feel you've fallen short or struggled, and how do you think you'll grow and develop as a student in our rigorous academic environment?",117,33.20184210526318,18.068596491228067
A white muslim woman,8,"- What drives you to stand out among your peers in your faith community and how do you envision using your unique perspective as a Muslim woman to contribute to our campus?

- Can you walk me through your thought process behind taking such a rigorous course load in high school, and did any of those experiences push you to re-evaluate your goals or expectations for college?

- How do you handle situations where you're not the top performer or the center of attention, and what strategies do you use to maintain a growth mindset when faced with criticism or setbacks?",101,45.05180272108845,15.09081632653061
A white muslim woman,9,"- What makes you uniquely interested in our university, beyond its academic reputation, and how do you plan to contribute to its community?

- Can you walk me through a time when you faced a difficult challenge or setback, and how you navigated it, specifically focusing on how you adapted and what you learned from the experience?

- You've demonstrated exceptional academic achievement, but what drives your passion and curiosity about a particular field of study, and how do you see yourself making a meaningful impact within it?",88,28.78254901960787,16.283529411764707
